"Naam project",Slug,Ingeschakeld,Status,Locatie,Tekst,Bijlage,"Homepage foto",Foto's,"Meta description","Meta keywords"
"USA, Caledonia (MI)",jasonville-farms,Ja,live,"Ontwikkeling nieuwe woonwijk","<p><strong>USA, Caledonia (MI)</strong> - Jasonville Farms</p><p>In samenwerking met Bosco Concrete Inc. is in 2014 een perceel grond voor de ontwikkeling van circa 90 kavels én 10 bouwrijpe kavels aangekocht. Op de bouwrijpe kavels worden momenteel woningen gebouwd. Prognose start bouwrijp maken grond: begin 2016.</p>",,Jasonville-Foto-1,"Jasonville-Foto-1, Jasonville-Foto-2, Jasonville-Foto-3, Jasonville-Foto-4",,
"USA, Grand Rapids (MI)",kentwood-acres,Ja,live,"Ontwikkeling 30 bouwkavels","<p><strong>USA, Grand Rapids (MI)</strong> - Kentwood Acres</p><p>Ontwikkeling van 30 bouwkavels. In samenwerking met Bosco Concrete Inc. zijn in de periode 2012-2015 vrijstaande woningen op deze kavels gebouwd en verkocht. Medio 2015 is de laatste woning in het nieuwbouwplan opgeleverd.</p>",,Kentwood-Foto-2,"Kentwood-Foto-2, Kentwood-Foto-1, Kentwood-Foto-3, Kentwood-Foto-4",,
Almelo,toekomstweg-20,Ja,live,"Nieuwbouw vrijstaande woning","<p><strong>Almelo</strong> - Toekomstweg 20</p><p>Ontwikkeling van een vrijstaande woning aan de Toekomstweg in de wijk Kollenveld. Oplevering heeft plaatsgevonden begin 2015 en de woning is medio 2015 verkocht.</p>",,Toekomstweg-20-foto,Toekomstweg-20-foto,,
Almelo,toekomstweg-6-8a,Ja,live,"Nieuwbouw 3 één-gezinswoningen","<p><strong>Almelo </strong>- Toekomstweg 6-8a</p><p>Nieuwbouw van 3 één-gezinswoningen in de populaire wijk Kollenveld. Er zijn twee hoekwoningen en één tussenwoning gerealiseerd, allen met een vrijstaande houten berging. De woningen zijn medio 2014 verkocht en begin 2015 opgeleverd.</p>",,Toekomstweg-6-8a-Foto,Toekomstweg-6-8a-Foto,,
Almelo,smaragdstraat,Ja,live,"Nieuwbouw 6 twee-onder-één-kap woningen","<p><strong>Almelo</strong> - Smaragdstraat</p><p>Nieuwbouw van 6 twee-onder-een-kap woningen op ruime kavels aan de Smaragdstraat in de nieuwe wijk Weggeler. Deze wijk is centraal gelegen tussen Kollenveld, Nieuwland en de Bornsestraat. </p><p>Verkoop van de woningen is gestart. Inmiddels zijn 3 woningen verkocht en zijn er 2 onder optie. Prognose start bouw: begin 2016.</p>",,Artist-Impression-lage-resolutie,"Artist-Impression-lage-resolutie, Smaragdstraat-foto-1",,
Uelsen,am-feriengebiet,Ja,live,"Voormalig saunacomplex","<p><strong>Uelsen </strong>- Am Feriengebiet</p><p>Voormalig saunacomplex gelegen in Feriengebiet Uelsen, welke voor de verkoop wordt aangeboden. De locatie biedt mogelijkheden voor diverse recreatieve doeleinden.</p>",,Uelsen-Foto-1,"Uelsen-Foto-1, Uelsen-Foto-2, Uelsen-Foto-3, Uelsen-Foto-4, Uelsen-Foto-5",,
Enschede,oldenzaalsestraat,Ja,live,"Transformatie voormalig kantoorpand","<p><strong>Enschede</strong> - Oldenzaalsestraat 4</p><p>Transformatie voormalig kantoorpand naar woonruimte. De exacte invulling is nog niet bekend, hiervoor wordt momenteel de markt verkend en worden verschillende mogelijkheden onderzocht. Vooruitlopend op de definitieve invulling wordt het pand van binnen tot op casco-niveau gestript. </p>",,Oldenzaalsestraat-4-foto-1,Oldenzaalsestraat-4-foto-1,,
Enschede,roomweg,Ja,live,"Nieuwbouw 14 stadswoningen","<p><strong>Enschede </strong>- Roomweg</p><p>In samenwerking met Bouwbedrijf Homan BV te Enter worden 14 nieuwe stadswoningen in de wijk Roombeek gerealiseerd. Woningen zijn reeds verkocht, oplevering zal naar verwachting eind 2015 plaatsvinden.</p>",,Roomweg-Artist-Impression,"Roomweg-Artist-Impression, Roomweg-foto-1, Roomweg-foto-2",,
Ootmarsum,parkstraat-4,Nee,disabled,"Nieuwbouw 4 woningen","<p><strong>Ootmarsum</strong> - Parkstraat 4</p><p>Herontwikkeling locatie voormalig postkantoor naar 4 nieuw te bouwen levensloopbestendige woningen in samenwerking met Bouwbedrijf Hulshof BV. Prognose start verkoop: eind 2015.</p>",,Artist-Impression,"Artist-Impression, Vogelvlucht 01, Vogelvlucht 2",,
Coevorden,modem-20,Ja,live,"3 multifunctionele bedrijfsunits","<p><strong>Coevorden </strong>- Modem 20</p><p>Voor de verhuur aangeboden: 3 multifunctionele bedrijfsunits, welke afzonderlijk maar ook in zijn geheel verhuurd kunnen worden. Oppervlakten van de units:</p><p>Unit A: b.g.g. 683 m2, 1e verd. 303 m2;</p><p>Unit B: b.g.g. 443 m2, 1e verd. 209 m2;</p><p>Unit C: b.g.g. 379 m2, 1e verd. 127 m2.</p><p>Ruimten zijn geschikt als bedrijfsruimte, kantoorruimte, showroom én voor volumineuze detailhandel.</p>",,Modem-20-foto-1,"Modem-20-foto-1, Modem-20-foto-2, Modem-20-foto-3, Modem-20-foto-4",,
Raalte,westdorplaan-25,Ja,live,"Nieuwbouw appartementencomplex","<p><strong>Raalte</strong> - Westdorplaan 25</p><p>Herontwikkeling locatie voormalig postkantoor. Realisatie van 20 appartementen met verschillende afmetingen, welke zowel in de koop- als huursector worden aangeboden. Procedure m.b.t. wijziging bestemmingsplan is opgestart. Prognose start verkoop/verhuur: medio 2016. </p>",,Westdorplaan-Artist-Impression-1,"Westdorplaan-Artist-Impression-1, Westdorplaan-Artist-Impression-2, Westdorplaan-Foto-1, Westdorplaan-Foto-2, Westdorplaan-Foto-3",,
Tubbergen,oldenzaalseweg-8,Ja,live,"Nieuwbouw 12 appartementen","<p><strong>Tubbergen</strong> - Oldenzaalseweg 8</p><p>In samenwerking met Bouwbedrijf Hulshof BV worden 12 exclusieve appartementen tegen de rand van het centrum van Tubbergen ontwikkeld. De afmeting van de appartementen varieert tussen de 110-160 m2. Prognose start verkoop: in de loop van 2016.</p>",,Oldenzaalseweg-8-Foto-1,Oldenzaalseweg-8-Foto-1,,
Almelo,ootmarsumsestraat-236-240,Ja,live,"Nieuwbouw supermarkt met appartementen ","<p><strong>Almelo </strong>- Ootmarsumsestraat 236-240</p><p>Ontwikkeling van een nieuwe supermarkt met daarbij 3
appartementen. Oplevering heeft in 2013 plaatsgevonden.</p>",,"ootmarsumsestraat foto 1","Foto-1-1, Ootmarsumsestraat-Foto-2, Ootmarsumsestraat-Foto-3",,
"USA, Spring Lake (MI)",marina-bay,Ja,live,"Nieuwbouw 10 vrijstaande woningen","<p><strong>USA, Spring Lake (MI)</strong> - Marina Bay</p><p>In samenwerking met Bosco Concrete Inc. worden 10 vrijstaande woningen (Condo's) gelegen aan het Spring Lake gerealiseerd. De eerste twee woningen zijn gereed en worden gemeubileerd voor de verkoop aangeboden. </p>",,Marina-Bay-Foto-voorkant,"Marina-Bay-Foto-voorkant, Marina-Bay-Foto-1, Marina-Bay-Foto-2, Marina-Bay-Foto-3, Marina-Bay-Foto-4",,
Hardenberg,boesemeer-4-10,Ja,live,"Nieuwbouw 5 vrijstaande woningen","<p>Hardenberg - Boesemeer 4-10</p><p>Nieuwbouw van 5 vrijstaande levensbestendige woningen in de wijk Marslanden. Er worden twee types (Cairns en Sydney) aangeboden en er zijn diverse opties voor de inrichting. Oplevering zal naar verwachting eind 2015 plaatsvinden. Inmiddels zijn 3 woningen verkocht. </p>",,Boesemeer-Artist-Impression,"Boesemeer-Artist-Impression, Boesemeer-Foto-1, Boesemeer-Foto-2",,
Hardenberg,erve-nijsink-1-21,Ja,live,"Nieuwbouw 12 twee-onder-één-kap woningen","<p><strong>Hardenberg</strong> - Erve Nijsink 1-21</p><p>Nieuwbouw van 12 moderne twee-onder-één-kap woningen, type Queenstown, in de wijk Marslanden te Hardenberg. Woningen zijn eind 2014 verkocht en medio 2015 opgeleverd.</p>",,Erve-Nijsink-1-21-Artist-Impression,"Erve-Nijsink-1-21-Artist-Impression, Erve-Nijsink-Foto-1",,
Hardenberg,erve-nijsink-35-45,Ja,live,"Nieuwbouw 6 twee-onder-één-kap woningen","<p><strong>Hardenberg</strong> - Erve Nijsink 35-45</p><p>Nieuwbouw van 6 zeer ruime twee-onder-een-kap woningen, type Oxford, in de wijk Marslanden. Woningen zijn medio 2015 verkocht en worden naar verwachting in de loop van 2016 opgeleverd. </p>",,Erve-Nijsink-Artist-Impression,"Erve-Nijsink-Artist-Impression, Erve-Nijsink-35-45-Foto-1",,
Hardenberg,van-voorststraat-37-43,Ja,live,"4 bouwkavels","<p><strong>Hardenberg</strong> - Van Voorststraat 37-43</p><p>In 2014 zijn 4 kavels voor de bouw van vrijstaande woningen aangekocht in de wijk Marslanden. Deze kavels worden voor de verkoop aangeboden. Op één kavel is door Koopman Vastgoed BV zelf een woning ontwikkeld, deze woning is momenteel onder optie. Van de overige drie kavels zijn er twee verkocht en één onder optie.  </p>",,Van-Voorststraat-foto-1,"Van-Voorststraat-foto-1, Van-Voorststraat-foto-2, Impressie 03-foto-1",,
Hardenberg,de-schans-1,Ja,live,"2 bedrijfskavels","<p><strong>Hardenberg</strong> - De Schans 1</p><p>Voor de verkoop aangeboden twee bedrijfskavels met een gemengde bestemming. </p>",,De-Schans-Foto-1,De-Schans-Foto-1,,
Hoogeveen,erflanden,Ja,live,"Ontwikkeling circa 60 bouwkavels","<p><strong>Hoogeveen</strong> - Erflanden</p><p>Aankoop van een perceel grond medio 2015, conform bestemmingsplan geschikt voor de ontwikkeling van 64 vrijstaande, danwel vrijstaand geschakelde woningen.</p>",,Erflanden-Foto-1,"Foto-1, Foto-2, Foto-3",,
